Sample ID,Thiaminase_Activity,SD_Line,Detect_Limit,No_detect,Area,Survey,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
2604,1.218203228,0.105909499,0.317728496,FALSE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,3.5,7.1,
2608-c,0.400866345,0.060769609,0.182308826,FALSE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,2.1,6.5,"Composite sample, n = 2, individuals = 2608, 2607, mass and length are averages"
2615-c,1.658349094,0.072559809,0.217679427,FALSE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.6,"Composite sample, n = 2, individuals = 2615, 2614, mass and length are averages"
2623-c,3.058421884,0.055284067,0.165852202,FALSE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,6,"Composite sample, n = 2, individuals = 2623, 2622, mass and length are averages"
2610-c,-1.662115623,0.092640242,0.277920727,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,5.9,"Composite sample, n = 2, individuals = 2610, 2609, mass and length are averages"
2617-c,-0.059726395,0.055051684,0.165155052,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,6.2,"Composite sample, n = 2, individuals = 2617, 2616, mass and length are averages"
2619-c,0.133442756,0.101868823,0.30560647,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.7,6.4,"Composite sample, n = 2, individuals = 2619, 2618, mass and length are averages"
3313-c,4.997108382,0.099739902,0.299219706,FALSE,Bering Sea,NBS2022,30,9/12/2022,64.0008,-168.0068,,12/6/2022,Sand Lance,Ammodytes hexapterus,Age 0,0.5,5.2,"Composite sample, n = 4, individuals = 3313, 3320, 3319, 3318, mass and length are averages"
2814-c,0.534309101,0.05269301,0.158079031,FALSE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/6/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.4,5.3,"Composite sample, n = 3, individuals = 2814, 2813, 2812, mass and length are averages"
2934,-0.800118463,0.070880849,0.212642547,TRUE,Bering Sea,NBS2022,3,9/2/2022,60.0252,-170.0605,,12/6/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.6,5.7,
2811-c,0.470816177,0.162751691,0.488255074,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/6/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.1,6.5,"Composite sample, n = 3, individuals = 2811, 2810, 2809, mass and length are averages"
2908-c,-1.417829287,0.106223456,0.318670367,TRUE,Bering Sea,NBS2022,2,9/2/2022,59.9944,-169.0626,,12/6/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.7,4.2,"Composite sample, n = 6, individuals = 2908, 2907, 2906, 2904, 2905, 2903, mass and length are averages"
ARCO08,1.612612665,0.144478542,0.433435625,FALSE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/7/2022,Arctic Cod,,,8.9,10.3,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCO10,1.448499598,0.058699462,0.176098387,FALSE,Von_Biela,VVB,LB03,8/19/2022,70.14299,-146.02219,Flaxman Island,12/7/2022,Arctic Cod,,,10.5,11.3,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
FOSC09,2.159297506,0.080284345,0.240853035,FALSE,Von_Biela,VVB,SS01,8/13/2022,70.29305,-147.7989,Foggy Island Bay,12/7/2022,Fourhorn Sculpin,,,15.6,11.9,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
FOSC01,-0.230834446,0.05576639,0.167299171,TRUE,Von_Biela,VVB,LB01,7/25/2021,70.17283,-145.95804,Flaxman Island,12/7/2022,Fourhorn Sculpin,,,1.4,6.1,"VVB fish, Net ID = FN-2021-03, FISHID = NA"
FOSC02,-1.101978892,0.063850531,0.191551594,TRUE,Von_Biela,VVB,LB01,8/16/2022,70.17207,-145.95714,Flaxman Island,12/7/2022,Fourhorn Sculpin,,,2,6.7,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
FOSC04,-2.302425623,0.051684465,0.155053394,TRUE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/7/2022,Fourhorn Sculpin,,,1.2,7.5,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
FOSC05,-1.54051053,0.068525639,0.205576916,TRUE,Von_Biela,VVB,SS01,8/13/2022,70.29305,-147.7989,Foggy Island Bay,12/7/2022,Fourhorn Sculpin,,,2.9,7.5,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
FOSC06,-1.290843438,0.056666365,0.169999096,TRUE,Von_Biela,VVB,SS01,7/22/2021,70.2929,-147.79823,Foggy Island Bay,12/7/2022,Fourhorn Sculpin,,,3.1,7.6,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
FOSC10,-0.354591841,0.059396014,0.178188041,TRUE,Von_Biela,VVB,SS01,8/13/2022,70.29305,-147.7989,Foggy Island Bay,12/7/2022,Fourhorn Sculpin,,,23.4,13.5,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
GH-2,-0.412704009,0.055956665,0.167869994,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/7/2022,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.3,6.1,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
2986-c,0.277647025,0.073932161,0.221796483,FALSE,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,12/7/2022,Longhead Dab,Limanda proboscidea,Larval,0.2,2,"Composite sample, n = 3, individuals = 2986, 2988, 2987, mass and length are averages"
LD003,1.027186379,0.057906733,0.1737202,FALSE,Bering Sea,NBS2022,1,,,,,12/7/2022,Longhead Dab,,,0.4,2.8,"No barcode, composite sample, n = 4,  mass and length are averages"
1525,1.211208245,0.053319209,0.159957628,FALSE,Bering Sea,NBS2021,3,08212017 01:47:14.418,59.9972,-170.0025,,12/7/2022,Pacific cod (age 0),Gadus macrocephalus (age 0),Age 0,2,6.4,
1699,1.86819859,0.061836692,0.185510076,FALSE,Bering Sea,NBS2021,13,9/3/2021,61.0093,-170.0152,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,101.9,22.1,
1700,2.207186237,0.056159971,0.168479912,FALSE,Bering Sea,NBS2021,13,9/3/2021,61.0093,-170.0152,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,57,19,
1021,-1.106283497,0.070010979,0.210032937,TRUE,Bering Sea,NBS2021,5,8/31/2021,60.5071,-170.9639,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,83.1,20.4,
2226,-0.862535236,0.093923101,0.281769304,TRUE,Bering Sea,NBS2021,45,9/14/2021,64.1063,-163.4488,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,37.3,14.9,
2668,1.479707984,0.187518275,0.562554824,FALSE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,11.2,11.1,"Processed with light on, tube may be mislabeled 2268"
2673,-8.987477258,0.210925124,0.632775371,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,20.6,13.2,Processed with light on
2606,2.40627422,0.051148903,0.153446708,FALSE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/7/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,2.3,6.8,
RASM07,18.33761749,0.573430139,1.720290418,FALSE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/7/2022,Rainbow Smelt,,,5.1,9.8,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
RASM08,8.550021771,0.206713598,0.620140795,FALSE,Von_Biela,VVB,LB01,8/16/2022,70.17207,-145.95714,Flaxman Island,12/7/2022,Rainbow Smelt,,,7.2,10.5,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
SACO01,-1.524368262,0.071642872,0.214928616,TRUE,Von_Biela,VVB,LB02,7/28/2021,70.18504,-146.05629,Flaxman Island,12/7/2022,Saffron Cod,Eleginus gracilis,,2.5,7.4,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
SACO02,-2.251308439,0.135141344,0.405424031,TRUE,Von_Biela,VVB,LB01,8/16/2022,70.17207,-145.95714,Flaxman Island,12/7/2022,Saffron Cod,Eleginus gracilis,,4.1,8.7,"VVB fish, Net ID = FN-2022-06, FISHID = NA, thawed a little bit"
SACO03,-1.558267026,0.217347788,0.652043364,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/7/2022,Saffron Cod,Eleginus gracilis,,5.3,9.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
SACO04,-3.331764305,0.097661814,0.292985441,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/7/2022,Saffron Cod,Eleginus gracilis,,7.3,10.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
SACO06,-4.028572246,0.0736411,0.220923301,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/7/2022,Saffron Cod,Eleginus gracilis,,9.3,11.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
SACO07,-1.733679682,0.091270278,0.273810833,TRUE,Von_Biela,VVB,SS01,7/22/2021,70.2929,-147.79823,Foggy Island Bay,12/7/2022,Saffron Cod,Eleginus gracilis,,9.8,11.2,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
SACO08,-2.467076766,0.089608275,0.268824826,TRUE,Von_Biela,VVB,SS01,7/22/2021,70.2929,-147.79823,Foggy Island Bay,12/7/2022,Saffron Cod,Eleginus gracilis,,10.3,11.9,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
SACO09,-0.992211463,0.051317861,0.153953584,TRUE,Von_Biela,VVB,SS01,7/22/2021,70.2929,-147.79823,Foggy Island Bay,12/7/2022,Saffron Cod,Eleginus gracilis,,14.1,12.2,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
3317-c,-0.995439917,0.07489876,0.224696279,TRUE,Bering Sea,NBS2022,30,9/12/2022,64.0008,-168.0068,,12/7/2022,Sand Lance,Ammodytes hexapterus,Age 0,0.5,5.4,"Composite sample, n = 4, individuals = 3317, 3316, 3315, 3314, mass and length are averages"
3456-c,0.218458706,0.074925093,0.22477528,TRUE,Bering Sea,NBS2022,37,,,,,12/7/2022,Sand Lance,,,1,6.8,"Composite sample, n = 2, individuals = 3456, 3457, mass and length are averages"
SUSM01,4.546739079,0.149343119,0.448029357,FALSE,Southeast,SECM2022,Zimobre Straight Station G,8/4/2022,56.2585,-132.3679,,12/7/2022,Surf Smelt,Hypomesus pretiosus,,43.5,16.2,
SUSM07,-0.09846784,0.114538583,0.34361575,TRUE,Southeast,SECM2022,Zimobre Straight Station G,8/4/2022,56.2585,-132.3679,,12/7/2022,Surf Smelt,Hypomesus pretiosus,,43.8,15.8,
2815,1.436123858,0.07403149,0.222094471,FALSE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/7/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.6,6.4,
2911-c,1.77457343,0.059733666,0.179200998,FALSE,Bering Sea,NBS2022,2,9/2/2022,59.9944,-169.0626,,12/7/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.7,4.2,"Composite sample, n = 4, individuals = 2911, 2912, 2910, 2909, mass and length are averages"
ARCI01,1.086374698,0.070426617,0.211279852,FALSE,Von_Biela,VVB,SS02,7/22/2018,70.27666,-147.77771,Foggy Island Bay,12/8/2022,Arctic Cisco,,,1.8,7.6,"VVB fish, Net ID = FN-2018-04-North, FishID = ARCI347"
ARCO01,1.475403379,0.133505257,0.400515772,FALSE,Von_Biela,VVB,LB02,7/28/2021,70.18504,-146.05629,Flaxman Island,12/8/2022,Arctic Cod,,,1.9,7,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
ARCO07,0.499334185,0.08403305,0.252099151,FALSE,Von_Biela,VVB,LB03,8/19/2022,70.14299,-146.02219,Flaxman Island,12/8/2022,Arctic Cod,,,10.6,9.9,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
ARCO02,-0.497181883,0.06346695,0.190400851,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Arctic Cod,,,3.6,7.5,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCO03,0.17487458,0.084062798,0.252188394,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Arctic Cod,,,4,8,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCO04,-1.974199489,0.059683656,0.179050967,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/8/2022,Arctic Cod,,,5,8.5,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
ARCO05,-1.120273463,0.064195446,0.192586337,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Arctic Cod,,,4.7,8.8,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCO06,-1.116506934,0.067339661,0.202018984,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/8/2022,Arctic Cod,,,5.8,9.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
ARCO09,-2.968025178,0.060003663,0.180010988,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/8/2022,Arctic Cod,,,7.6,10.3,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
BRWH01,1.824614463,0.05514253,0.165427591,FALSE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,11.2,9.8,"VVB fish, Net ID = FN2202-02, FISHID = NA"
BRWH02,1.768654598,0.055532358,0.166597075,FALSE,Von_Biela,VVB,SS01,7/23/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,9,10.6,"VVB fish, Net ID = FN-2202-01, FISH ID = NA"
BRWH03,0.890515169,0.170521405,0.511564215,FALSE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,11.1,11,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
BRWH04,2.850186615,0.057767247,0.173301742,FALSE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,13.3,11.1,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
BRWH05,2.595676842,0.075612907,0.226838722,FALSE,Von_Biela,VVB,SS01,7/22/2021,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Broad Whitefish,,,14.5,12.8,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
BRWH06,2.004331724,0.057241748,0.171725243,FALSE,Von_Biela,VVB,SS01,7/23/2018,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Broad Whitefish,,,33.7,14.8,"VVB fish, Net ID = FN-2018-05-East, FISHID = BRWH158"
BRWH07,-1.414062757,0.102773806,0.308321419,TRUE,Von_Biela,VVB,SL01,7/22/2019,70.5156,-149.46765,Simpson Lagoon,12/8/2022,Broad Whitefish,,,24.1,15,"VVB fish, Net ID = FN-2019-01-South, FISHID = BRWH160"
BRWH08,-1.874655497,0.102781159,0.308343477,TRUE,Von_Biela,VVB,SS02,7/22/2018,70.27666,-147.77771,Foggy Island Bay,12/8/2022,Broad Whitefish,,,34.4,15.5,"VVB fish, Net ID = FN-2018-04-South, FISHID =  BRWH159"
2145,0.765143547,0.070131154,0.210393461,FALSE,Bering Sea,NBS2021,39,9/12/2021,64.503,-167.0381,,12/8/2022,Capelin,Mallotus villosus,,3.9,8.6,
2144,-0.447678925,0.054701909,0.164105726,TRUE,Bering Sea,NBS2021,39,9/12/2021,64.503,-167.0381,,12/8/2022,Capelin,Mallotus villosus,,2.7,7.5,
1524,-0.590268967,0.059714563,0.179143688,TRUE,Bering Sea,NBS2021,3,08212017 01:47:14.418,59.9972,-170.0025,,12/8/2022,Pacific cod (age 0),Gadus macrocephalus (age 0),Age 0,12.1,8.7,
924,2.144769464,0.196738233,0.590214698,FALSE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/8/2022,Pacific Herring,Clupea pallasi,,56.4,18,
922,-1.30537148,0.268884958,0.806654875,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/8/2022,Pacific Herring,Clupea pallasi,,49.4,17,
1058,13.57941469,0.470199036,1.410597108,FALSE,Bering Sea,NBS2021,10,9/2/2021,61.0072,-167.0247,,12/8/2022,Rainbow Smelt,Osmerus mordax,,41.9,17.6,
1255,15.73333144,0.287390926,0.862172778,FALSE,Bering Sea,NBS2021,31,9/9/2021,63.016,-166.006,,12/8/2022,Rainbow Smelt,Osmerus mordax,,8.5,10.8,
1256,16.51461725,0.592162844,1.776488532,FALSE,Bering Sea,NBS2021,31,9/9/2021,63.016,-166.006,,12/8/2022,Rainbow Smelt,Osmerus mordax,,30.1,15,
2110,33.89015552,0.857101845,2.571305536,FALSE,Bering Sea,NBS2021,37,9/11/2021,65.389,-167.9904,,12/8/2022,Rainbow Smelt,Osmerus mordax,,20.5,15.8,
SACO10,0.674746841,0.055698813,0.167096438,FALSE,Von_Biela,VVB,LB02,7/28/2021,70.18504,-146.05629,Flaxman Island,12/8/2022,Saffron Cod,Eleginus gracilis,,11.9,12.4,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
SACO05,0.18348379,0.131625203,0.394875609,TRUE,Von_Biela,VVB,LB03,8/16/2022,70.14298,-146.02217,Flaxman Island,12/8/2022,Saffron Cod,Eleginus gracilis,,9.2,11,"VVB fish, Net ID = FN-2022-05, FISHID = NA"
1682c,2.032311657,0.053414472,0.160243416,FALSE,Bering Sea,NBS2021,12,9/3/2021,61.0247,-169.0165,,12/8/2022,Sand Lance,Ammodytes hexapterus,,0.4,5.4,"Composite sample, n = 5, individuals = 1682-85, 1691, mass and length are averages"
1196c,-0.629548488,0.210233818,0.630701453,TRUE,Bering Sea,NBS2021,27,9/8/2021,62.5002,-168.9767,,12/8/2022,Sand Lance,Ammodytes hexapterus,,0.7,6,"Composite sample, n = 2, individuals = 1196,1200, mass and length are averages"
1686c,-0.050579109,0.063987493,0.19196248,TRUE,Bering Sea,NBS2021,12,9/3/2021,61.0247,-169.0165,,12/8/2022,Sand Lance,Ammodytes hexapterus,,0.4,5,"Composite sample, n = 5, individuals = 1686-90, mass and length are averages"
1765c,-2.02208822,0.066412202,0.199236607,TRUE,Bering Sea,NBS2021,17,9/4/2021,61.5028,-168.9718,,12/8/2022,Sand Lance,Ammodytes hexapterus,,0.4,5.3,"Composite sample, n = 2, individuals = 1765, 1766, mass and length are averages"
2007,-0.822179564,0.055904241,0.167712724,TRUE,Bering Sea,NBS2021,32,9/9/2021,63.4962,-166.0308,,12/8/2022,Threespine stickleback,Gasterosteus aculeatus,,4.7,7.9,
2008,-1.567952388,0.062967826,0.188903477,TRUE,Bering Sea,NBS2021,32,9/9/2021,63.4962,-166.0308,,12/8/2022,Threespine stickleback,Gasterosteus aculeatus,,4.8,7.4,
1585,0.999744522,0.060297033,0.180891099,FALSE,Bering Sea,NBS2021,7,9/1/2021,60.4999,-168.9578,,12/8/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.1,7.7,
1599,1.801477211,0.052900511,0.158701532,FALSE,Bering Sea,NBS2021,8,9/1/2021,60.5041,-167.9788,,12/8/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.2,8.1,
