Sample ID,Thiaminase_Activity,No_detect,Signal.Noise,Area,Survey,?,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
GH-2,-0.412704009,TRUE,FALSE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.3,6.1,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
LD002,-0.406785177,TRUE,FALSE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,2022-10-17,Longhead Dab,Limanda proboscidea,Larval,0.3,2.4,"No barcode, composite sample, n = 3, mass and length are averages"
2979,-0.397637891,TRUE,FALSE,Bering Sea,NBS2022,202202,5,2022-09-03,60.5219,-169.0082,,2022-10-17,Capelin,Mallotus villosus,NA,4.5,9.5,
2936,-0.39656174,TRUE,FALSE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.2,6.1,
923,-0.367505656,TRUE,FALSE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,46.5,16.5,
FOSC10,-0.354591841,TRUE,FALSE,Von_Biela,,,SS01,2022-08-13,70.29305,-147.79890,Foggy Island Bay,,Fourhorn Sculpin,,,23.4,13.5,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
3390,-0.316926546,TRUE,FALSE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,11.7,15.0,
921,-0.303474656,TRUE,FALSE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,49.1,17.0,
2667,-0.257738227,TRUE,FALSE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,21.8,12.4,Processed with light on
SUSM06,-0.257738227,TRUE,FALSE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,31.4,13.8,
ARCI09,-0.239443656,TRUE,FALSE,Von_Biela,,,SS01,2022-07-23,70.29305,-147.79890,Foggy Island Bay,,Arctic Cisco,,,26.3,15.1,"VVB fish, Net ID = FN-2022-01, FISHID = NA"
FOSC01,-0.230834446,TRUE,FALSE,Von_Biela,,,LB01,2021-07-25,70.17283,-145.95804,Flaxman Island,,Fourhorn Sculpin,,,1.4,6.1,"VVB fish, Net ID = FN-2021-03, FISHID = NA"
927,-0.188864546,TRUE,FALSE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,36.7,15.8,
1925c,-0.123219319,TRUE,FALSE,Bering Sea,NBS2021,202101,24,2021-09-07,62.0053,-170.9941,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.9,4.6,"Composite sample, n = 2, individuals = 1925, 1924, mass and length are averages"
2071,-0.115148185,TRUE,FALSE,Bering Sea,NBS2021,202101,33,2021-09-10,63.5038,-167.0196,,,Pacific Herring,Clupea pallasi,Age 1+,83.6,20.2,
SUSM07,-0.09846784,TRUE,FALSE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,43.8,15.8,
2617-c,-0.059726395,TRUE,FALSE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,6.2,"Composite sample, n = 2, individuals = 2617, 2616, mass and length are averages"
1686c,-0.050579109,TRUE,FALSE,Bering Sea,NBS2021,202101,12,2021-09-03,61.0247,-169.0165,,,Sand Lance,Ammodytes hexapterus,,0.4,5.0,"Composite sample, n = 5, individuals = 1686-90, mass and length are averages"
2999,0.03443684,TRUE,FALSE,Bering Sea,NBS2022,202202,6,2022-09-03,60.5045,-167.979,,,Capelin,Mallotus villosus,NA,4.0,8.5,
2669,0.068335605,TRUE,FALSE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,29.3,14.2,"Processed with light on, tube may be mislabeled 2269"
905,0.074792513,TRUE,FALSE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,,Capelin,Mallotus villosus,NA,4.9,9.1,
3109,0.126447773,TRUE,FALSE,Bering Sea,NBS2022,202202,13,2022-09-06,61.5012,-168.9561,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 0,1.0,6.8,
2619-c,0.133442756,TRUE,FALSE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.7,6.4,"Composite sample, n = 2, individuals = 2619, 2618, mass and length are averages"
ARCO03,0.17487458,TRUE,FALSE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Arctic Cod,,,4.0,8.0,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCI04,0.179717261,TRUE,FALSE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Arctic Cisco,,,15.8,12.3,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
SACO05,0.18348379,TRUE,FALSE,Von_Biela,,,LB03,2022-08-16,70.14298,-146.02217,Flaxman Island,,Saffron Cod,Eleginus gracilis,,9.2,11.0,"VVB fish, Net ID = FN-2022-05, FISHID = NA"
3456-c,0.218458706,TRUE,FALSE,Bering Sea,NBS2022,202202,37,,,,,,Sand Lance,,,1.0,6.8,"Composite sample, n = 2, individuals = 3456, 3457, mass and length are averages"
2986-c,0.277647025,FALSE,TRUE,Bering Sea,NBS2022,202202,5,2022-09-03,60.5219,-169.0082,,,Longhead Dab,Limanda proboscidea,Larval,0.2,2.0,"Composite sample, n = 3, individuals = 2986, 2988, 2987, mass and length are averages"
2608-c,0.400866345,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,2.1,6.5,"Composite sample, n = 2, individuals = 2608, 2607, mass and length are averages"
907,0.408399404,FALSE,TRUE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,,Capelin,Mallotus villosus,NA,4.4,8.6,
2811-c,0.470816177,TRUE,FALSE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.1,6.5,"Composite sample, n = 3, individuals = 2811, 2810, 2809, mass and length are averages"
ARCO07,0.499334185,FALSE,TRUE,Von_Biela,,,LB03,2022-08-19,70.14299,-146.02219,Flaxman Island,,Arctic Cod,,,10.6,9.9,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
3284,0.52085721,FALSE,TRUE,Bering Sea,NBS2022,202202,28,2022-09-12,63.4991,-167.0056,,2022-10-17,Gonatus Squid,Gonatus kamtschaticus,NA,7.6,9.4,Total length
3285,0.526776042,FALSE,TRUE,Bering Sea,NBS2022,202202,28,2022-09-12,63.4991,-167.0056,,2022-10-17,Gonatus Squid,Gonatus kamtschaticus,NA,6.3,7.6,Total length
2814-c,0.534309101,FALSE,TRUE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.4,5.3,"Composite sample, n = 3, individuals = 2814, 2813, 2812, mass and length are averages"
3385,0.600492404,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,10.2,13.8,
GH-3,0.639233849,FALSE,TRUE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.3,6.0,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
3389,0.663985328,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,13.1,14.3,
SACO10,0.674746841,FALSE,TRUE,Von_Biela,,,LB02,2021-07-28,70.18504,-146.05629,Flaxman Island,,Saffron Cod,Eleginus gracilis,,11.9,12.4,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
3445,0.754382034,FALSE,TRUE,Bering Sea,NBS2022,202202,37,2022-09-15,63.9921,-165.9651,,2022-10-17,Saffron Cod,Eleginus gracilis,NA,2.6,6.4,
2145,0.765143547,FALSE,TRUE,Bering Sea,NBS2021,202101,39,2021-09-12,64.503,-167.0381,,,Capelin,Mallotus villosus,,3.9,8.6,
2981,0.765143547,FALSE,TRUE,Bering Sea,NBS2022,202202,5,2022-09-03,60.5219,-169.0082,,2022-10-17,Capelin,Mallotus villosus,NA,4.3,9.3,
ARCI08,0.863073312,FALSE,TRUE,Von_Biela,,,SL77,2019-07-23,70.49861,-149.59874,Simpson Lagoon,,Arctic Cisco,,,34.0,15.0,"VVB fish, Net ID = FN-2019-02-East, FISHID = ARCI345"
BRWH03,0.890515169,FALSE,TRUE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Broad Whitefish,,,11.1,11.0,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
PG-2,0.941094278,FALSE,TRUE,Bering Sea,NBS2022,202202,22,2022-09-09,62.5025,-169.015,,,Humpy shrimp,Pandalus goniurus,,1.4,,"No barcode, composite sample, n = 3, no lengths taken, mass is average"
3383,0.973378816,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,11.1,13.4,
3386,0.992211463,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,11.9,14.9,
1585,0.999744522,FALSE,TRUE,Bering Sea,NBS2021,202101,7,2021-09-01,60.4999,-168.9578,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.1,7.7,
LD003,1.027186379,FALSE,TRUE,Bering Sea,NBS2022,202202,1,,,,,,Longhead Dab,,,0.4,2.8,"No barcode, composite sample, n = 4,  mass and length are averages"
3001,1.039024043,FALSE,TRUE,Bering Sea,NBS2022,202202,6,2022-09-03,60.5045,-167.979,,,Capelin,Mallotus villosus,NA,2.8,8.4,
ARCI01,1.086374698,FALSE,TRUE,Von_Biela,,,SS02,2018-07-22,70.27666,-147.77771,Foggy Island Bay,,Arctic Cisco,,,1.8,7.6,"VVB fish, Net ID = FN-2018-04-North, FishID = ARCI347"
2664,1.097136211,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,43.2,16.4,
2940-c,1.160629135,FALSE,TRUE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.9,4.9,"Composite sample, n = 2, individuals = 2940, 2939, mass and length are averages"
2978,1.181076009,FALSE,TRUE,Bering Sea,NBS2022,202202,5,2022-09-03,60.5219,-169.0082,,2022-10-17,Capelin,Mallotus villosus,NA,5.3,10.1,
1525,1.211208245,FALSE,TRUE,Bering Sea,NBS2021,202101,3,08212017 01:47:14.418,59.9972,-170.0025,,,Pacific cod (age 0),Gadus macrocephalus (age 0),Age 0,2.0,6.4,
2604,1.218203228,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,3.5,7.1,
904,1.253716219,FALSE,TRUE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,,Capelin,Mallotus villosus,NA,4.7,8.7,
SUSM03,1.289229211,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,42.6,16.3,
2815,1.436123858,FALSE,TRUE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.6,6.4,
ARCO10,1.448499598,FALSE,TRUE,Von_Biela,,,LB03,2022-08-19,70.14299,-146.02219,Flaxman Island,,Arctic Cod,,,10.5,11.3,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
ARCO01,1.475403379,FALSE,TRUE,Von_Biela,,,LB02,2021-07-28,70.18504,-146.05629,Flaxman Island,,Arctic Cod,,,1.9,7.0,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
2668,1.479707984,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,11.2,11.1,"Processed with light on, tube may be mislabeled 2268"
3204,1.485626816,FALSE,TRUE,Bering Sea,NBS2022,202202,23,2022-09-10,62.9915,-166.9599,,2022-10-17,Rainbow Smelt,Osmerus mordax,NA,27.6,14.9,
ARCO08,1.612612665,FALSE,TRUE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Arctic Cod,,,8.9,10.3,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
2615-c,1.658349094,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.6,"Composite sample, n = 2, individuals = 2615, 2614, mass and length are averages"
928,1.670724833,FALSE,TRUE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,45.9,16.1,
2935-c,1.694400161,FALSE,TRUE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.8,4.8,"Composite sample, n = 2, individuals = 2935, 2938, mass and length are averages"
ARCI05,1.695476312,FALSE,TRUE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Arctic Cisco,,,16.9,12.6,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
2933,1.708390127,FALSE,TRUE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.2,5.2,
1658,1.724532396,FALSE,TRUE,Bering Sea,NBS2021,202101,11,2021-09-02,61.007,-168.0525,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,3.7,7.9,
